system:index,20201230T103441_20201230T103436_T32UNC_B2,20201230T103441_20201230T103436_T32UNC_B3,20201230T103441_20201230T103436_T32UNC_B4,20201230T103441_20201230T103436_T32UNC_B5,20201230T103441_20201230T103436_T32UNC_B6,20201230T103441_20201230T103436_T32UNC_B7,20201230T103441_20201230T103436_T32UNC_B8,20201230T103441_20201230T103436_T32UNC_EVI,20201230T103441_20201230T103436_T32UNC_IRECI,20201230T103441_20201230T103436_T32UNC_NDVI,20201230T103441_20201230T103436_T32UNC_SCL,pai,.geo
0000000000000000e0de_0,854,824,899,1190,1550,1720,1894,28139,32767,3562,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.279297598554933,51.480657390546504]}"
0000000000000000e0f9_0,3710,3168,3330,3860,4356,4448,4904,-13384,32767,1911,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.301341298957414,51.48231126166318]}"
0000000000000000e111_0,5844,5312,5484,6153,6388,6488,6808,-8039,32767,1077,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.320793710866367,51.483878189032616]}"
0000000000000000e12a_0,4828,4452,4616,5245,5380,5245,5516,-7507,32767,888,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.34125556202314,51.485438958138744]}"
0000000000000000e139_0,3392,3184,3140,3650,3988,4011,4552,-17244,32767,1835,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.353504669883181,51.486391774528634]}"
0000000000000000e13f_0,3740,3294,3386,3863,4175,4161,4740,-11309,32767,1666,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.35826015109337,51.48673701628776]}"
0000000000000000e17a_0,6092,5660,5904,6690,6934,6783,6964,-8027,32767,823,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.407261567324891,51.490443571926384]}"
0000000000000000e17f_0,6564,5960,6136,6899,7162,7089,7276,-5547,32767,849,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.41129769819781,51.490789159536874]}"
0000000000000000e18f_0,7132,6396,6444,7241,7566,7492,8100,-6156,32767,1138,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.424270668466567,51.4918219651063]}"
0000000000000000e1a3_0,6328,6016,6044,6819,7165,7060,7480,-9663,32767,1061,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.44041480706896,51.493021307710144]}"
0000000000000000e1e0_0,7708,6744,6596,6978,6944,6584,8248,-4136,-32768,1112,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.490007504436363,51.4968709208944]}"
0000000000000000e1ec_0,6544,5880,5856,6508,6472,6324,7160,-4806,32767,1001,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.499955839449457,51.497638201439685]}"
0000000000000000e1f0_0,5796,4936,4736,5179,5043,4850,6068,-3706,32767,1232,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.50327103380946,51.49780386005097]}"
0000000000000000e218_0,5916,5200,5280,5615,5621,5462,5860,-2123,32767,520,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.535858573761368,51.500357055746136]}"
0000000000000000e224_0,6180,5664,5708,6162,6012,5890,6464,-3352,32767,621,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545231083795683,51.50103320917227]}"
0000000000000000e23c_0,3316,2810,2828,2950,2942,2945,3604,-4514,32767,1206,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.564987606123315,51.50255823912592]}"
0000000000000000e263_0,1948,2434,2762,3371,3693,3714,3106,1696,32767,586,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.596715046731557,51.5049188396199]}"
0000000000000001228d_0,217,256,258,427,614,672,673,17451,32767,4457,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.224807652436242,51.469265016849704]}"
000000000000000122ab_0,357,372,361,491,671,772,860,32767,32767,4086,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.249292932557434,51.47119371628616]}"
000000000000000122d5_0,1048,1080,1044,1519,2369,2538,2610,32767,32767,4285,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.285016248010669,51.473989709529725]}"
00000000000000012313_0,4268,3982,4196,5085,5858,5889,5668,-31587,32767,1492,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.335439451569986,51.477902632742186]}"
00000000000000012316_0,4320,3792,3804,4407,4610,4598,4948,-6181,32767,1307,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.337888672318142,51.47807543775681]}"
0000000000000001231f_0,4228,3956,3814,4212,4334,4237,5152,-9106,32767,1492,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.345236444159234,51.47859354566221]}"
00000000000000012341_0,3348,2964,2862,3072,3150,3126,3758,-5360,32767,1353,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.373766631527287,51.480843957835475]}"
00000000000000012342_0,3210,3046,2900,3212,3119,2988,3864,-8576,32767,1425,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.374630645510647,51.48084120106159]}"
0000000000000001236c_0,10168,9152,9264,10035,9918,9535,10520,-3092,32767,634,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.40864079790581,51.48360500748436]}"
00000000000000012385_0,5868,5044,4764,5503,5720,5653,6708,-5575,32767,1694,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.428961412826437,51.485150970054484]}"
000000000000000123ac_0,3140,3228,3238,3855,4462,4552,4672,32767,32767,1812,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.460813980789291,51.48754785192391]}"
000000000000000123d5_0,4500,4348,4532,5078,5224,5142,5384,-18158,32767,859,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.494256088658807,51.49010923543184]}"
000000000000000123e4_0,4572,3852,3666,3832,3784,3642,4936,-4315,-32768,1476,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.50636548298364,51.49104668070542]}"
000000000000000123f0_0,5244,4800,4720,5298,5383,5323,5680,-4503,32767,923,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.516168779987389,51.49181321134193]}"
