system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,.geo
00120000000000010d84_3,1250,1418,1246,1755,3373,3911,4136,32283,32767,5369,10,14320,13968,13048,13626,12761,12341,13104,-87,-32768,21,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.8180967823343,50.74029985814728]}"
00120000000000010d84_4,1262,1400,1206,1755,3373,3911,4172,32767,32767,5515,10,13672,13712,13328,13626,12761,12341,12704,1581,-32768,-239,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.818238490047175,50.74029886387353]}"
00120000000000010d84_5,1286,1406,1176,1725,3384,4096,4216,32767,32767,5637,10,13544,13496,13664,14087,13325,12875,12432,4299,-32768,-472,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.818380197752038,50.74029786942759]}"
00120000000000010d84_6,1218,1366,1202,1614,3205,3807,4050,32767,32767,5422,10,14384,13888,13056,13549,12908,12615,13192,-207,-32768,51,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.818236923006067,50.740208944026634]}"
00120000000000010d89_0,1066,1100,918,1487,3321,4049,3934,32767,32767,6215,7,14880,13800,12920,13960,13437,13240,13368,-540,32767,170,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.822055149182766,50.73973243480768]}"
00120000000000010d89_1,1070,1214,950,1487,3321,4049,4256,32767,32767,6350,7,15016,14408,13512,13960,13437,13240,13776,-371,-32768,96,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.822196855042918,50.73973143573186]}"
00120000000000010d89_2,1112,1152,935,1512,3564,4413,4204,32767,32767,6361,10,14424,13288,13480,14581,14031,13691,12872,1053,32767,-230,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.82191186926754,50.7396435139383]}"
00120000000000010d89_3,1064,1144,930,1504,3527,4373,4284,32767,32767,6432,7,14960,13688,13136,14634,14312,14126,13360,-279,32767,84,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.822053574864434,50.739642515037836]}"
00120000000000010d89_4,1084,1236,944,1504,3527,4373,4660,32767,32767,6630,7,15416,14552,13448,14634,14312,14126,14112,-797,32767,240,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.822195280453279,50.7396415159652]}"
00120000000000010d89_5,1104,1202,971,1504,3527,4373,4460,32767,32767,6424,7,15096,13552,14032,14634,14312,14126,13168,1362,32767,-317,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.822052000554148,50.73955259526656]}"
00120000000000010d89_6,1082,1182,924,1504,3527,4373,4592,32767,32767,6649,7,15888,14256,13976,14634,14312,14126,14064,-103,32767,31,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.822193705871689,50.739551596197096]}"
00120000000000010d8d_0,6164,6292,6248,6761,7200,7399,7580,-28682,32767,963,9,17952,16848,16168,16316,15385,14841,15976,221,-32768,-59,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.826717189158243,50.73889009736147]}"
00120000000000010d8d_1,6564,6640,6600,7465,7882,7913,7824,-16952,32767,848,9,18000,16992,16376,16594,15733,14978,15976,481,-32768,-123,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.826858892310309,50.738889092632505]}"
00120000000000010d8d_2,5724,6004,6152,6761,7200,7399,7364,22494,32767,896,9,17664,16312,15672,16316,15385,14841,15976,-338,-32768,96,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.826573903070807,50.738801182237566]}"
00120000000000010d8d_3,5960,6232,6408,6761,7200,7399,7436,21687,32767,742,9,17856,16608,15936,16316,15385,14841,15976,-44,-32768,12,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.826715605959675,50.73880017768397]}"
00120000000000010d8d_4,6408,6724,6776,7465,7882,7913,7780,32767,32767,689,9,17808,16784,16168,16594,15733,14978,15976,233,-32768,-59,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.826857308840447,50.738799172958196]}"
00120000000000010d8d_5,5620,6100,6376,6837,7459,7644,7192,6183,32767,601,9,17664,16376,15560,15901,14946,14459,15976,-449,-32768,131,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.8267140227692,50.73871025800503]}"
00120000000000010d8d_6,6108,6564,6844,7602,8155,8278,7588,6542,32767,515,9,17808,16560,15616,15996,15120,14637,15976,-376,-32768,113,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.826855725378682,50.73870925328245]}"
00120000000000010daa_0,894,1032,885,1282,2295,2583,2530,32767,32767,4816,4,7960,7096,6700,6774,6748,6681,7056,-715,-32768,258,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.84931965309295,50.73486062555503]}"
00120000000000010daa_1,988,1086,979,1568,2544,3019,2626,32767,32767,4568,7,8180,7308,6860,7127,6924,6710,7240,-733,-32768,269,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.84946134326814,50.734859593419706]}"
00120000000000010daa_2,905,1010,873,1214,2401,2768,2684,32767,32767,5091,4,7792,7056,6616,6555,6485,6359,6928,-660,-32768,230,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.849176336933585,50.73477173829434]}"
